TYPEID,GROUPID,TYPENAME,MARKETGROUPID
0,0,#System,
2,2,Corporation,
3,3,Region,
4,4,Constellation,
5,5,Solar System,
6,6,Sun G5 (Yellow),
7,6,Sun K7 (Orange),
8,6,Sun K5 (Red Giant),
9,6,Sun B0 (Blue),
10,6,Sun F0 (White),
11,7,Planet (Temperate),
12,7,Planet (Ice),
13,7,Planet (Gas),
14,8,Moon,
15,9,Asteroid Belt,
16,10,Stargate (Caldari System),
17,10,Stargate (Amarr Constellation),
18,458,Plagioclase,516
19,461,Spodumain,517
20,457,Kernite,523
21,454,Hedbergite,527
22,450,Arkonor,512
23,12,Cargo Container,
24,13,Ring,
25,14,Corpse,
26,16,Office Folder,
27,16,Office,
28,16,Factory Folder,
29,17,Credits,
30,19,Faction,
34,18,Tritanium,1857
35,18,Pyerite,1857
36,18,Mexallon,1857
37,18,Isogen,1857
38,18,Nocxium,1857
39,18,Zydrine,1857
40,18,Megacyte,1857
41,280,Garbage,20
42,280,Spiced Wine,492
43,280,Antibiotics,492
44,1034,Enriched Uranium,1335
45,281,Frozen Plant Seeds,492
49,24,Player Kill,
50,24,Company Shares,
51,24,Bookmark,
52,94,Trading,
53,95,Trade Session,
54,15,Caldari Logistics Station,
56,15,Gallente Military Station,
57,15,Gallente Station Hub ,
58,15,C-O-1,
59,15,C-O-2,
164,23,Clone Grade Alpha,
165,23,Clone Grade Beta,
166,23,Clone Grade Gamma,
178,83,Carbonized Lead S,113
179,83,Nuclear S,113
180,83,Proton S,113
181,83,Depleted Uranium S,113
182,83,Titanium Sabot S,113
183,83,Fusion S,113
184,83,Phased Plasma S,113
185,83,EMP S,113
186,83,Carbonized Lead M,112
187,83,Nuclear M,112
188,83,Proton M,112
189,83,Depleted Uranium M,112
190,83,Titanium Sabot M,112
191,83,Fusion M,112
192,83,Phased Plasma M,112
193,83,EMP M,112
194,83,Carbonized Lead L,109
195,83,Nuclear L,109
196,83,Proton L,109
197,83,Depleted Uranium L,109
198,83,Titanium Sabot L,109
199,83,Fusion L,109
200,83,Phased Plasma L,109
201,83,EMP L,109
202,386,Mjolnir Cruise Missile,921
203,386,Scourge Cruise Missile,921
204,386,Inferno Cruise Missile,921
205,386,Nova Cruise Missile,921
206,385,Nova Heavy Missile,924
207,385,Mjolnir Heavy Missile,924
208,385,Inferno Heavy Missile,924
209,385,Scourge Heavy Missile,924
210,384,Scourge Light Missile,920
211,384,Inferno Light Missile,920
212,384,Mjolnir Light Missile,920
213,384,Nova Light Missile,920
215,85,Iron Charge S,107
216,85,Tungsten Charge S,107
217,85,Iridium Charge S,107
218,85,Lead Charge S,107
219,85,Thorium Charge S,107
220,85,Uranium Charge S,107
221,85,Plutonium Charge S,107
222,85,Antimatter Charge S,107
223,85,Iron Charge M,108
224,85,Tungsten Charge M,108
225,85,Iridium Charge M,108
226,85,Lead Charge M,108
227,85,Thorium Charge M,108
228,85,Uranium Charge M,108
229,85,Plutonium Charge M,108
230,85,Antimatter Charge M,108
231,85,Iron Charge L,106
232,85,Tungsten Charge L,106
233,85,Iridium Charge L,106
234,85,Lead Charge L,106
235,85,Thorium Charge L,106
236,85,Uranium Charge L,106
237,85,Plutonium Charge L,106
238,85,Antimatter Charge L,106
239,86,Radio S,102
240,86,Microwave S,102
241,86,Infrared S,102
242,86,Standard S,102
243,86,Ultraviolet S,102
244,86,Xray S,102
245,86,Gamma S,102
246,86,Multifrequency S,102
247,86,Radio M,103
248,86,Microwave M,103
249,86,Infrared M,103
250,86,Standard M,103
251,86,Ultraviolet M,103
252,86,Xray M,103
253,86,Gamma M,103
254,86,Multifrequency M,103
255,86,Radio L,105
256,86,Microwave L,105
257,86,Infrared L,105
258,86,Standard L,105
259,86,Ultraviolet L,105
260,86,Xray L,105
261,86,Gamma L,105
262,86,Multifrequency L,105
263,87,Cap Booster 25,139
264,87,Cap Booster 50,139
265,1158,Heavy Defender Missile I,116
266,387,Scourge Rocket,922
267,89,Scourge Torpedo,923
269,394,Mjolnir Auto-Targeting Light Missile I,914
270,92,Python Mine,
377,38,Small Shield Extender I,605
380,38,Small Shield Extender II,605
393,39,Shield Recharger I,126
394,39,Shield Recharger II,126
399,40,Small Shield Booster I,609
400,40,Small Shield Booster II,609
