REGIONID,CONSTELLATIONID,SOLARSYSTEMID,SOLARSYSTEMNAME,SECURITY
10000001,20000001,30000001,Tanoo,0.858324
10000001,20000001,30000002,Lashesih,0.751689
10000001,20000001,30000003,Akpivem,0.846292
10000001,20000001,30000004,Jark,0.817001
10000001,20000001,30000005,Sasta,0.814337
10000001,20000001,30000006,Zaid,0.864229
10000001,20000001,30000007,Yuzier,0.906556
10000001,20000001,30000008,Nirbhi,0.882116
10000001,20000002,30000009,Sooma,0.577819
10000001,20000002,30000010,Chidah,0.539052
10000001,20000002,30000011,Shenela,0.456959
10000001,20000002,30000012,Asabona,0.322884
10000001,20000002,30000013,Onsooh,0.442817
10000001,20000002,30000014,Shamahi,0.355242
10000001,20000002,30000015,Sendaya,0.293933
10000001,20000002,30000016,Nazhgete,0.391497
10000001,20000003,30000017,Futzchag,0.172229
10000001,20000003,30000018,Kazna,0.231263
10000001,20000003,30000019,Podion,0.109705
10000001,20000003,30000020,Lilmad,0.160449
10000001,20000003,30000021,Kuharah,0.189705
10000001,20000003,30000022,Jayneleb,0.11384
10000001,20000004,30000023,Fovihi,0.869394
10000001,20000004,30000024,Kiereend,0.840835
10000001,20000004,30000025,Rashy,0.803266
10000001,20000004,30000026,Ordize,0.695564
10000001,20000004,30000027,Psasa,0.749913
10000001,20000004,30000028,Eshtah,0.768433
10000001,20000004,30000029,Lachailes,0.573051
10000001,20000004,30000030,Kasrasi,0.573076
10000001,20000005,30000031,Mohas,0.681783
10000001,20000005,30000032,Hasiari,0.798188
10000001,20000005,30000033,Radima,0.75392
10000001,20000005,30000034,Alkez,0.782123
10000001,20000005,30000035,Nimambal,0.594051
10000001,20000005,30000036,Yishinoon,0.424718
10000001,20000005,30000037,Uplingur,0.422069
10000001,20000006,30000038,Dooz,0.423729
10000001,20000006,30000039,Bayuka,0.400722
10000001,20000006,30000040,Uzistoon,0.390646
10000001,20000006,30000041,Bairshir,0.364088
10000001,20000006,30000042,Moh,0.472835
10000001,20000006,30000043,Sari,0.379343
10000001,20000007,30000044,Faspera,0.128258
10000001,20000007,30000045,Jaymass,0.216311
10000001,20000007,30000046,Mifrata,0.303803
10000001,20000007,30000047,Majamar,0.369186
10000001,20000007,30000048,Ihal,0.492701
10000001,20000007,30000049,Camal,0.212977
10000001,20000007,30000050,Fera,0.477246
10000001,20000008,30000051,Juddi,0.649137
10000001,20000008,30000052,Maspah,0.799901
10000001,20000008,30000053,Ibaria,0.730979
10000001,20000008,30000054,Shala,0.715564
10000001,20000008,30000055,Zemalu,0.725159
10000001,20000008,30000056,Khankenirdia,0.613596
10000001,20000009,30000057,Nikh,0.774198
10000001,20000009,30000058,Amphar,0.702187
10000001,20000009,30000059,Salashayama,0.665586
10000001,20000009,30000060,Janus,0.545571
10000001,20000009,30000061,Agha,0.718783
10000001,20000009,30000062,Iosantin,0.450343
10000001,20000009,30000063,Orva,0.50995
10000001,20000009,30000064,Zet,0.569698
10000001,20000009,30000065,Akhrad,0.358477
10000001,20000009,30000066,Pirohdim,0.628696
10000001,20000009,30000067,Sharir,0.396849
10000001,20000009,30000068,Usroh,0.597458
10000001,20000009,30000069,Thiarer,0.542033
10000001,20000010,30000070,Gomati,0.387421
10000001,20000010,30000071,Jangar,0.527329
10000001,20000010,30000072,Nakah,0.363864
10000001,20000010,30000073,Irshah,0.429507
10000001,20000010,30000074,Hasateem,0.426496
10000001,20000010,30000075,Assah,0.297802
10000001,20000011,30000076,Tidacha,0.820099
10000001,20000011,30000077,Odlib,0.824517
10000001,20000011,30000078,Jofan,0.779548
10000001,20000011,30000079,Milu,0.769625
10000001,20000011,30000080,Yadi,0.750268
10000001,20000011,30000081,Buftiar,0.708741
10000001,20000012,30000082,Jarizza,0.765431
10000001,20000012,30000083,Ejahi,0.72891
10000001,20000012,30000084,Asghatil,0.794778
10000001,20000012,30000085,Bar,0.665838
10000001,20000012,30000086,Sucha,0.658265
10000001,20000012,30000087,Gelhan,0.701676
10000001,20000012,30000088,Akeva,0.664835
10000001,20000013,30000089,Sosa,0.301179
10000001,20000013,30000090,Ilahed,0.315943
10000001,20000013,30000091,Eshwil,0.218968
10000001,20000013,30000092,Aranir,0.242789
10000001,20000013,30000093,Ishkad,0.366036
10000001,20000013,30000094,Hahyil,0.208115
10000001,20000014,30000095,Asilem,0.284998
10000001,20000014,30000096,Mahnagh,0.205003
10000001,20000014,30000097,Shach,0.326043
10000001,20000014,30000098,Kehrara,0.364844
10000001,20000014,30000099,Arena,0.44233
10000001,20000014,30000100,Timeor,0.314131
10000001,20000014,30000101,Uhtafal,0.499612
10000001,20000014,30000102,Dysa,0.236195
10000001,20000014,30000103,Serad,0.525836
10000001,20000014,30000104,Mahti,0.228282
10000001,20000014,30000105,Abha,0.434101
10000001,20000015,30000106,Shedoo,0.506118
10000001,20000015,30000107,Gamis,0.473906
10000001,20000015,30000108,Nieril,0.35344
10000001,20000015,30000109,Berta,0.489557
10000001,20000015,30000110,Bekirdod,0.405349
10000001,20000015,30000111,Hothomouh,0.422981
10000001,20000016,30000112,Arnola,0.462835
10000001,20000016,30000113,Astabih,0.408818
10000001,20000016,30000114,Ubtes,0.336073
10000001,20000016,30000115,Bimener,0.270041
10000001,20000016,30000116,Kenobanala,0.289398
10000001,20000016,30000117,Khabi,0.248619
10000001,20000016,30000118,Uanzin,0.433972
10000002,20000017,30000119,Itamo,0.671738
10000002,20000017,30000120,Mitsolen,0.633706
10000002,20000017,30000121,Jatate,0.637428
10000002,20000017,30000122,Mahtista,0.658238
10000002,20000017,30000123,Vaankalen,0.64717
10000002,20000017,30000124,Kylmabe,0.731931
10000002,20000017,30000125,Ahtulaima,0.612689
10000002,20000018,30000126,Geras,0.650146
10000002,20000018,30000127,Sirseshin,0.747993
10000002,20000018,30000128,Tuuriainas,0.610849
10000002,20000018,30000129,Unpas,0.945965
10000002,20000018,30000130,Shihuken,0.874585
10000002,20000018,30000131,Nomaa,0.606936
10000002,20000019,30000132,Ansila,0.912017
10000002,20000019,30000133,Hirtamon,0.974726
10000002,20000019,30000134,Hykkota,0.823653
10000002,20000019,30000135,Outuni,0.734172
10000002,20000019,30000136,Ohmahailen,0.663811
10000002,20000019,30000137,Eskunen,0.625294
10000002,20000019,30000138,Ikuchi,0.986815
10000002,20000020,30000139,Urlen,0.959995
